SKU unidad negocio,Codigo regional,Descripcion,EAN,Proveedor,Equipo,PM asociado,Trazabilidad levantamiento,Etapa
1966341,OI24WMSO07B1,OI24 SOSTEN COTTON PREFORMADO MJ WHITE,False,VENCA INTIMEA INDUSTRY LIMITED,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1967531,OI24JBPL01-B2,OI24 POLERON JB FZ LISO MILITAR,False,WUHU WELTEX TRADE CO. LTD,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1967527,O24KBPO01-DE2,O24 POLERA NINO DEPORTIVA GREY,False,BSM ENTERPRISE LTD.,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1966211,OI24KBPJ09B3,OI24 PIJAMA NINO ML PTO + PL BRUSH DINO,False,WUHU WELTEX TRADE CO. LTD,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966332,OI24WMSO02B5,OI24 SOSTEN MUJER MICROF PUSH UP INDIGO,False,GUANGDONG PENGSHENG GARMENT INDUSTR,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1966335,OI24WMSO03B3,OI24 SOSTEN MUJER MICROF STRAPLESS BEIGE,False,GUANGDONG PENGSHENG GARMENT INDUSTR,VESTUARIO,Daniela Walters,False,No completado - Nuevo
1967518,OI24KBJE01-B1,OI2PANT JOGGER NINO KNIT DENIM REG DENIM,False,PASTEL APPARELS LIMITED,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1967679,OI24JGCA04-BP2,OI24 CALZA JR BIPACK MARENGO,False,SICHUAN TEXTILES IMPORT & EXPORT LI,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1965012,CB2000EOI24-P3-BTS-9,PACK TENEDOR+CUCHARA+CUCHILLO BTS OI24,False,"NINGBO HOZ TRADING CO.,LTD",FOOD IMPORTADOS,Magdalena Benavente,False,No completado - Nuevo
1967662,O24JGPO05-K2,OI24 POLERA JG ML RAYAS RAYAS 2,False,STITCH (BD) KNITWEAR,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
1967661,O24JGPO05-K1,OI24 POLERA JG ML RAYAS RAYAS 1,False,STITCH (BD) KNITWEAR,VESTUARIO,Treicy Norambuena,False,No completado - Nuevo
